ID1,ID2,Latitude,Longitude,Elevation,Tmax01,Tmax02,Tmax03,Tmax04,Tmax05,Tmax06,Tmax07,Tmax08,Tmax09,Tmax10,Tmax11,Tmax12,Tmin01,Tmin02,Tmin03,Tmin04,Tmin05,Tmin06,Tmin07,Tmin08,Tmin09,Tmin10,Tmin11,Tmin12,Tave01,Tave02,Tave03,Tave04,Tave05,Tave06,Tave07,Tave08,Tave09,Tave10,Tave11,Tave12,PPT01,PPT02,PPT03,PPT04,PPT05,PPT06,PPT07,PPT08,PPT09,PPT10,PPT11,PPT12
normal1981to2010,Rock Creek,43.37876,-122.952072,326,11.7,16.1,18.5,16.2,22.5,29.3,31.9,32,28.9,23.6,11,9.5,4.3,6.3,5.5,-0.1,9.6,11.6,13.6,15.4,12,12.5,2.6,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111.5,170,99,80.4,46,25.5,4.25,11.4,41.4,190.4,184.1,285
normal1981to2010,Hinkle Creek,43.433601,-123.088577,327,12,16.2,18.5,16.5,22.2,29,31.4,31.5,28.7,23.8,11.2,9.6,4.7,6.7,5.9,0.2,9.8,11.5,13.5,15.2,12.2,13,3.2,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.5,144,84.6,69,43,22.5,4,10.2,35.1,156.8,151.2,234
normal1981to2010,Coast Fork Willamette,43.6517,-123.087967,260,12,16.1,18.5,15.5,21,27.6,30.3,30.5,27.9,23.2,11.5,9.8,4.4,6.5,5.7,0.1,9.9,11.7,13.6,15.3,12.3,13,3,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,145,85.2,72,45,23,3.75,12.6,36,153.6,141.4,218
normal1981to2010,Mosby Creek,43.721298,-122.976311,243,11.9,16,18.4,15.2,20.7,27.3,30,30.3,27.5,22.8,11.5,9.8,4.5,6.5,5.7,0.1,9.8,11.6,13.5,15.1,12.2,13.1,3,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.5,134,82.2,69,44.5,24.5,4.5,11.4,36.9,148.8,136.5,204
normal1981to2010,Calapooia Creek,44.359642,-122.842903,146,11.9,15.8,18.4,15.8,21.2,28,30.5,30.9,27.9,23.1,11.3,9.7,4.9,7,6.4,0.8,10.5,12.2,13.8,15.3,12.5,13.4,3.4,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,142,81,62.4,41,29,4.25,12,35.1,161.6,139.3,199
normal1981to2010,Wiley Creek,44.412022,-122.675446,176,11.7,15.8,18.3,15.8,21.2,27.9,30.5,30.9,27.7,23,11.2,9.4,4.7,6.5,6.2,0.5,10.3,11.9,13.5,14.9,12,12.9,3.1,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.5,143,82.8,67.2,49,34,4.75,13.2,38.7,168,146.3,202
normal1981to2010,Thomas,44.711785,-122.61087,229,11.1,14.9,17.1,14.8,20.5,27,29.6,29.8,26.6,21.9,10.4,8.8,4.4,6.4,5.9,0.2,10.1,11.8,13.7,15.3,12.6,13,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,181,107.4,88.2,58,46,7,16.2,54,217.6,178.5,245
normal1981to2010,Hunter,44.922787,-123.327316,101,11.9,16.1,18.4,16,21.8,28.7,31,31.3,28.4,23.6,11.7,9.8,4.8,6.8,6.3,0.6,10.2,11.9,13.4,15,12.3,12.9,3.1,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,150,79.2,48,28,18.5,3,7.8,27.9,139.2,142.1,228
normal1981to2011,Looking Glass,43.144088,-123.475052,176,13.2,17.3,19.9,17.2,22.9,29.8,32.4,32.5,29.6,24.5,12.4,10.8,5.1,6.9,6.2,0.5,10.2,12,14,15.4,11.8,12.5,3.5,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,113,58.8,46.2,25.5,12,2,6.6,22.5,108.8,114.1,195
avg20012To003,Jamestown,37.91738,-120.42128,420,13.93333333,15.03333333,18.33333333,18.36666667,27.23333333,31.76666667,35.5,34.26666667,32,26.16666667,17.76666667,14.53333333,2.133333333,2.766666667,4.133333333,5.466666667,10.76666667,14.1,17.7,15.86666667,13.7,9.666666667,5.5,4.633333333,8.033333333,8.866666667,11.23333333,11.93333333,19,22.93333333,26.6,25.06666667,22.86666667,17.93333333,11.6,9.6,73.66666667,74.33333333,73.66666667,74,24.66666667,1.666666667,1,4,4,7.333333333,90.66666667,217.6666667
avg20012To003,Mather,37.88558,-119.855377,1398,11.1,10.76666667,14.3,13.6,21.56666667,26.16666667,30.43333333,29.76666667,27.66666667,21.86666667,13.93333333,11.4,-2.066666667,-3.033333333,-0.533333333,1.033333333,6.666666667,10.43333333,14.7,13,10.8,5.933333333,2,0.6,4.5,3.866666667,6.9,7.3,14.13333333,18.3,22.6,21.4,19.23333333,13.86666667,7.966666667,6,85.66666667,86.33333333,93.66666667,119.3333333,40.33333333,2.333333333,3.333333333,4.666666667,6.333333333,10.33333333,134,276
avg20012To003,Timberline,37.96158,-119.280884,3008,2.766666667,1.566666667,4.7,3.5,10.83333333,15.8,19.56666667,18.6,16.3,11.33333333,4.9,2.733333333,-10.03333333,-11.66666667,-8.766666667,-7.266666667,-0.633333333,3.2,8.033333333,7.433333333,4.4,-0.6,-6.033333333,-7.366666667,-3.633333333,-5.033333333,-2.033333333,-1.866666667,5.066666667,9.5,13.83333333,13.03333333,10.36666667,5.333333333,-0.566666667,-2.3,108.6666667,95.66666667,82,63.66666667,38.33333333,2.333333333,18.66666667,18,11.33333333,11,187.3333333,268.6666667
avg20012To003,White Wolf,37.87188,-119.65078,2417,8.266666667,6.666666667,10.36666667,8.833333333,15.73333333,20.5,24.2,23.46666667,21.56666667,16.3,10.26666667,8.6,-6.066666667,-8.133333333,-5.733333333,-4.566666667,2,6.366666667,10.83333333,9,7.4,2.533333333,-1.333333333,-4.1,1.1,-0.733333333,2.3,2.133333333,8.866666667,13.4,17.5,16.23333333,14.46666667,9.4,4.433333333,2.266666667,139.6666667,123.3333333,118,146.6666667,53.33333333,2.333333333,5.333333333,6.666666667,7,11,167,502
