"tempy","meanlog","sdlog","year"
"C1",-0.316127083618197,0.732578031354476,2011
"C2",0.12455041569431,0.925400739691754,2011
"C3",-0.47407562242329,0.610383882781933,2011
"N1",0.761663680195521,0.783772044499189,2011
"N2",0.719998880621716,0.495166831506841,2011
"S1",0.59632442844822,0.749935428988989,2011
"S2",1.26927391999007,0.54810261955539,2011
"C1",0.519782948807632,0.756038136785653,2012
"C2",0.087719856761107,0.814476101476009,2012
"C3",0.50142191538509,0.809515206165208,2012
"N1",0.303156840125269,0.811600058328519,2012
"N2",0.687665154889523,0.471096692098099,2012
"S1",1.10756957581173,0.682956423210074,2012
"S2",0.998806616502973,0.637165142770582,2012
