"","Param","C","C_UL","C_LL","N","N_UL","N_LL","S","S_UL","S_LL"
"rowAdd","surv.int",-0.213,-0.086,-0.347,-0.406,-0.014,-1.048,-0.24,-0.041,-0.677
"rowAdd1","surv.z",0.296,0.408,0.123,0.384,0.735,0.111,0.2,0.566,0.032
"rowAdd2","grow.int",0.545,0.699,0.385,0.708,1.099,0.266,0.208,0.686,0.031
"rowAdd3","grow.z",1.28,1.654,0.948,1.133,1.693,0.442,0.461,1.276,0.019
"rowAdd4","grow.sd",0.149,0.219,0.09,0.194,0.325,0.091,0.075,0.243,0.014
"rowAdd5","repr.int",-0.627,-0.257,-1.303,-1.22,-0.563,-2.239,-0.988,-0.465,-1.833
"rowAdd6","repr.slope",0.611,1.273,0.218,1.213,2.134,0.524,0.988,1.804,0.431
"rowAdd7","repr.slope2",-0.46,-0.148,-1.361,-0.944,-0.323,-2.417,-0.787,-0.242,-2.215
"rowAdd8","FecCountComp.int",-0.327,-0.129,-0.867,-0.673,-0.236,-1.579,-0.98,-0.453,-1.486
"rowAdd9","FecCountComp.slope",0.811,2.533,0.255,1.745,4.777,0.436,2.989,5.43,0.828
"rowAdd10","FecZIComp.int",0.005,0.018,0.001,0.01,0.028,0.002,0.017,0.035,0.006
"rowAdd11","SeedPerFruit",0.043,0.144,0.013,0.092,0.282,0.021,0.189,0.335,0.051
"rowAdd12","RecrCoef.slope",0.358,1.326,0.106,0.692,2.212,0.15,1.582,3.031,0.383
"rowAdd13","mean.lnrom.RecrSize",0.109,0.735,-0.07,0.518,1.652,0.041,1.54,2.621,0.466
"rowAdd14","stdev.lnrom.RecrSize",0.391,0.808,0.086,0.599,1.556,0.027,0.733,1.912,-0.401
