"","CALAPOOIA","COAST","HUNTER","LOOK","MOSBY","ROCK","THOMAS","WILEY"
"P01",11,10,11,9,9,10,11,11
"P02",0,11,13,11,10,11,12,11
"P03",0,11,12,11,11,12,12,11
"P04",10,11,13,11,11,11,12,11
"P05",10,8,10,11,12,10,5,10
"P06",11,11,9,10,12,11,9,11
"P07",10,11,12,10,11,12,9,11
"P08",11,10,12,5,12,10,11,11
"P09",11,11,12,12,9,12,7,10
"P10",11,11,11,12,11,10,10,10
"P11",0,9,11,5,12,11,9,12
"P12",0,4,10,7,11,11,8,12
"P13",0,7,20,0,12,11,8,12
"P13B",0,0,20,0,0,0,0,0
"P14",0,8,0,0,12,10,0,10
"P15",0,6,0,0,0,8,0,0
